word,textbook_version,grade,book_volume,unit,phonetic,definition,part_of_speech,note
Hello!,苏教版,三年级,三上,Unit 1,/həˈləʊ/,你好！,句子,
Good morning.,苏教版,三年级,三上,Unit 1,/gʊd/ /ˈmɔːnɪŋ/,早上好。,句子,
Miss,苏教版,三年级,三上,Unit 1,/mɪs/,小姐，女士；老师,名词,
Hi.,苏教版,三年级,三上,Unit 1,/haɪ/,你好。,句子,
Good afternoon.,苏教版,三年级,三上,Unit 1,/gʊd//ɑːftəˈnuːn/,下午好。,句子,
class,苏教版,三年级,三上,Unit 1,/klɑːs/,同学们，课,名词,
I,苏教版,三年级,三上,Unit 1,/aɪ/,我（主格）,人称代词,
I'm=I am,苏教版,三年级,三上,Unit 1,/aɪm/=/aɪ/ /æm/,我是,缩写词,
are  ,苏教版,三年级,三上,Unit 2,/ɑː/,是,动词,
you,苏教版,三年级,三上,Unit 2,/juː/,你（主格，宾格）,人称代词,
yes,苏教版,三年级,三上,Unit 2,/jes/,是,名词,
am,苏教版,三年级,三上,Unit 2,/æm/,是,动词,
no,苏教版,三年级,三上,Unit 2,/nəʊ/,不，不是，没有,名词,
not,苏教版,三年级,三上,Unit 2,/nɒt/,不，没有,副词,
Goodbye.,苏教版,三年级,三上,Unit 2,/gʊdˈbaɪ/,再见。,句子,
my,苏教版,三年级,三上,Unit 3,/maɪ/,我的,物主代词,
friend,苏教版,三年级,三上,Unit 3,/frend/,朋友,名词,
she,苏教版,三年级,三上,Unit 3,/ʃiː/,她（主格）,人称代词,
she's=she is,苏教版,三年级,三上,Unit 3,/ʃiːz/=/ʃiː/ /ɪz/,她是,缩写词,
he,苏教版,三年级,三上,Unit 3,/hiː/,他（主格）,人称代词,
he's=he is,苏教版,三年级,三上,Unit 3,/hiːz/=/hiː/ /ɪz/,他是,缩写词,
too,苏教版,三年级,三上,Unit 3,/tuː/,也，也，也，也，也，也，,副词,
this,苏教版,三年级,三上,Unit 3,/ðɪs/,这，这个,指示代词,
too,苏教版,三年级,三上,Unit 7,/tuː/,也，也,副词,
too,苏教版,三年级,三上,Unit 3,/tuː/,也,副词,
is,苏教版,三年级,三上,Unit 3,/ɪz/,是,动词,
sister,苏教版,三年级,三上,Unit 3,/ˈsɪstə/,姐姐，妹妹,名词,
family,苏教版,三年级,三上,Unit 4,/ˈfæməli/,家，家庭；家人,名词,
father,苏教版,三年级,三上,Unit 4,/ˈfɑːðə/,父亲；爸爸,名词,
mother,苏教版,三年级,三上,Unit 4,/ˈmʌðə/,母亲；妈妈,名词,
brother,苏教版,三年级,三上,Unit 4,/ˈbrʌðə/,哥哥；弟弟,名词,
me,苏教版,三年级,三上,Unit 4,/miː/,我（宾格）,人称代词,
grandpa,苏教版,三年级,三上,Unit 4,/ˈgrænpɑː/,祖父；外祖父；,名词,
grandma,苏教版,三年级,三上,Unit 4,/ˈgrænmɑː/,祖母；外祖母,名词,
Good evening.,苏教版,三年级,三上,Unit 4,/gʊd/ /ˈiːvnɪŋ/,晚上好。,句子,
look at,苏教版,三年级,三上,Unit 5,/lʊk/ /æt/,看；瞧；看着,动词,
T-shirt,苏教版,三年级,三上,Unit 5,/ˈtiːʃɜːt/,T恤衫,名词,
it,苏教版,三年级,三上,Unit 5,/ɪt/,它（主格，宾格）,人称代词,
it's=it is,苏教版,三年级,三上,Unit 5,/ɪt/=/ɪtɪz/,它是,缩写词,
its,苏教版,三年级,三上,Unit 6,/ɪts/,它的,物主代词,课外拓展
nice,苏教版,三年级,三上,Unit 5,/naɪs/,好看的；好的,形容词,
skirt,苏教版,三年级,三上,Unit 5,/skɜːt/,裙子，短裙,名词,
How nice!,苏教版,三年级,三上,Unit 5,/haʊ/ /naɪs/,真好看！,句子,
cap,苏教版,三年级,三上,Unit 5,/kæp/,便帽；帽子,名词,
great,苏教版,三年级,三上,Unit 5,/ɡreɪt/,好极了，很好，很棒,形容词,
jacket,苏教版,三年级,三上,Unit 5,/ˈdʒækɪt/,夹克衫,名词,
new,苏教版,三年级,三上,Unit 5,/njuː/,新的,形容词,
What colour…? ,苏教版,三年级,三上,Unit 5,/wɒt/ /'kʌlə/,…… 什么颜色？,句子,
red,苏教版,三年级,三上,Unit 5,/red/,红色的,形容词,
colour,苏教版,三年级,三上,Unit 6,/'kʌlə/,颜色,名词,美式：color
orange,苏教版,三年级,三上,Unit 6,/ˈɒrɪndʒ/,橙色的；橘子,形容词,
